// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1/" /p:OutDir="D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1\publish/" in D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1
// command took 1.22 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1/" /p:OutDir="D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1\bin\Release\net10.0/" /p:OutputPath="D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1\bin\Release\net10.0/" /p:PublishDir="D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1\publish/" --output "D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1\bin\Release\net10.0/" in D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1
// command took 4.45 sec and exited with 0
// ***** Done, took 00:00:05 (5.78 sec)   *****
// Found 1 benchmarks:
//   EfCoreRawSqlBenchmark.BenchmarkRawSelect: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: EfCoreRawSqlBenchmark.BenchmarkRawSelect: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet VDotnetOrmTest-DefaultJob-1.dll --anonymousPipes 1920 3524 --benchmarkName EfCoreRawSqlBenchmark.BenchmarkRawSelect --job Default --benchmarkId 0 in D:\code\go\igorm\vdotnet\VDotnetOrmTest\bin\Release\net10.0\VDotnetOrmTest-DefaultJob-1\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.2
// Runtime=.NET 10.0.0 (10.0.25.35903), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 127700.00 ns, 127.7000 us/op
WorkloadJitting  1: 1 op, 205045400.00 ns, 205.0454 ms/op

WorkloadPilot    1: 2 op, 23122600.00 ns, 11.5613 ms/op
WorkloadPilot    2: 3 op, 42579400.00 ns, 14.1931 ms/op
WorkloadPilot    3: 4 op, 45333100.00 ns, 11.3333 ms/op
WorkloadPilot    4: 5 op, 50501100.00 ns, 10.1002 ms/op
WorkloadPilot    5: 6 op, 69585900.00 ns, 11.5977 ms/op
WorkloadPilot    6: 7 op, 80450800.00 ns, 11.4930 ms/op
WorkloadPilot    7: 8 op, 83455400.00 ns, 10.4319 ms/op
WorkloadPilot    8: 9 op, 132551600.00 ns, 14.7280 ms/op
WorkloadPilot    9: 10 op, 126383800.00 ns, 12.6384 ms/op
WorkloadPilot   10: 11 op, 128656000.00 ns, 11.6960 ms/op
WorkloadPilot   11: 12 op, 154240600.00 ns, 12.8534 ms/op
WorkloadPilot   12: 13 op, 159720200.00 ns, 12.2862 ms/op
WorkloadPilot   13: 14 op, 161420400.00 ns, 11.5300 ms/op
WorkloadPilot   14: 15 op, 166099700.00 ns, 11.0733 ms/op
WorkloadPilot   15: 16 op, 157562200.00 ns, 9.8476 ms/op
WorkloadPilot   16: 32 op, 344043100.00 ns, 10.7513 ms/op
WorkloadPilot   17: 64 op, 623813600.00 ns, 9.7471 ms/op

OverheadWarmup   1: 64 op, 2300.00 ns, 35.9375 ns/op
OverheadWarmup   2: 64 op, 1000.00 ns, 15.6250 ns/op
OverheadWarmup   3: 64 op, 500.00 ns, 7.8125 ns/op
OverheadWarmup   4: 64 op, 500.00 ns, 7.8125 ns/op
OverheadWarmup   5: 64 op, 1000.00 ns, 15.6250 ns/op
OverheadWarmup   6: 64 op, 900.00 ns, 14.0625 ns/op
OverheadWarmup   7: 64 op, 800.00 ns, 12.5000 ns/op
OverheadWarmup   8: 64 op, 800.00 ns, 12.5000 ns/op

// BeforeActualRun
WorkloadActual   1: 64 op, 613311500.00 ns, 9.5830 ms/op
WorkloadActual   2: 64 op, 510090100.00 ns, 7.9702 ms/op
WorkloadActual   3: 64 op, 607398300.00 ns, 9.4906 ms/op
WorkloadActual   4: 64 op, 540469300.00 ns, 8.4448 ms/op
WorkloadActual   5: 64 op, 541365300.00 ns, 8.4588 ms/op
WorkloadActual   6: 64 op, 564179300.00 ns, 8.8153 ms/op
WorkloadActual   7: 64 op, 562641300.00 ns, 8.7913 ms/op
WorkloadActual   8: 64 op, 574920500.00 ns, 8.9831 ms/op
WorkloadActual   9: 64 op, 549140600.00 ns, 8.5803 ms/op
WorkloadActual  10: 64 op, 514591100.00 ns, 8.0405 ms/op
WorkloadActual  11: 64 op, 502205800.00 ns, 7.8470 ms/op
WorkloadActual  12: 64 op, 619668100.00 ns, 9.6823 ms/op
WorkloadActual  13: 64 op, 571391400.00 ns, 8.9280 ms/op
